,Submission,Fragment
0,SAD-SAT-f2e2579e-10,x1358
1,SAD-SAT-c989feaa-10,x0770
2,SAD-SAT-29425be4-30,x0770
3,SAD-SAT-29425be4-29,x0770
4,SAD-SAT-29425be4-28,x0770
5,SAD-SAT-29425be4-27,x0770
6,SAD-SAT-29425be4-25,x0770
7,SAD-SAT-29425be4-23,x0770
8,SAD-SAT-29425be4-22,x0770
9,SAD-SAT-29425be4-21,x0770
10,SAD-SAT-29425be4-20,x0770
11,SAD-SAT-29425be4-19,x0770
12,SAD-SAT-29425be4-18,x0770
13,SAD-SAT-29425be4-17,x0770
14,SAD-SAT-29425be4-16,x0770
15,SAD-SAT-29425be4-15,x0770
16,SAD-SAT-29425be4-14,x0770
17,SAD-SAT-29425be4-13,x0770
18,SAD-SAT-29425be4-12,x0770
19,SAD-SAT-29425be4-11,x0770
20,SAD-SAT-29425be4-10,x0770
21,SAD-SAT-9a6c5cf3-10,x1358
22,SAD-SAT-6b5a89f0-10,x1478
23,SAD-SAT-5b1897b2-10,x0692
24,NIM-UNI-310206f0-71,x0770
25,NIM-UNI-310206f0-70,x0770
26,NIM-UNI-310206f0-69,x0770
27,NIM-UNI-310206f0-68,x0770
28,NIM-UNI-310206f0-67,x0770
29,NIM-UNI-310206f0-63,x0770
30,NIM-UNI-310206f0-54,x0770
31,NIM-UNI-310206f0-51,x0770
32,NIM-UNI-310206f0-48,x0770
33,NIM-UNI-310206f0-46,x0770
34,NIM-UNI-310206f0-45,x0770
35,NIM-UNI-310206f0-44,x0770
36,NIM-UNI-310206f0-43,x0770
37,NIM-UNI-310206f0-42,x0770
38,NIM-UNI-310206f0-41,x0770
39,NIM-UNI-310206f0-40,x0770
40,NIM-UNI-310206f0-38,x0770
41,NIM-UNI-310206f0-37,x0770
42,NIM-UNI-310206f0-36,x0770
43,NIM-UNI-310206f0-35,x0770
44,NIM-UNI-310206f0-34,x0770
45,NIM-UNI-310206f0-32,x0770
46,NIM-UNI-310206f0-29,x0770
47,NIM-UNI-310206f0-28,x0770
48,NIM-UNI-310206f0-27,x0770
49,NIM-UNI-310206f0-26,x0770
50,NIM-UNI-310206f0-25,x0770
51,NIM-UNI-310206f0-24,x0770
52,NIM-UNI-310206f0-23,x0770
53,NIM-UNI-310206f0-22,x0770
54,NIM-UNI-310206f0-21,x0770
55,NIM-UNI-310206f0-20,x0770
56,NIM-UNI-310206f0-19,x0770
57,NIM-UNI-310206f0-18,x0770
58,NIM-UNI-310206f0-17,x0770
59,NIM-UNI-310206f0-16,x0770
60,NIM-UNI-310206f0-15,x0770
61,NIM-UNI-310206f0-14,x0770
62,NIM-UNI-310206f0-13,x0770
63,NIM-UNI-310206f0-12,x0770
64,NIM-UNI-310206f0-11,x0770
65,NIM-UNI-43fe0159-12,x0759
66,NIM-UNI-43fe0159-11,x0759
67,NIM-UNI-43fe0159-10,x0759
68,MIH-UNI-e573136b-15,x0830
69,MIH-UNI-e573136b-14,x0830
70,MIH-UNI-e573136b-13,x0830
71,MIH-UNI-e573136b-11,x0830
72,MIH-UNI-e573136b-10,x0830
73,MAK-UNK-ec98eaf6-58,x0770
74,MAK-UNK-ec98eaf6-53,x0770
75,MAK-UNK-ec98eaf6-52,x0770
76,MAK-UNK-ec98eaf6-51,x0770
77,MAK-UNK-ec98eaf6-50,x0770
78,MAK-UNK-ec98eaf6-49,x0770
79,MAK-UNK-ec98eaf6-48,x0770
80,MAK-UNK-ec98eaf6-46,x0770
81,MAK-UNK-ec98eaf6-42,x0770
82,MAK-UNK-ec98eaf6-40,x0770
83,MAK-UNK-ec98eaf6-39,x0770
84,MAK-UNK-ec98eaf6-38,x0770
85,MAK-UNK-ec98eaf6-37,x0770
86,MAK-UNK-ec98eaf6-36,x0770
87,MAK-UNK-ec98eaf6-35,x0770
88,MAK-UNK-ec98eaf6-31,x0770
89,MAK-UNK-ec98eaf6-30,x0770
90,MAK-UNK-ec98eaf6-28,x0770
91,MAK-UNK-ec98eaf6-27,x0770
92,MAK-UNK-ec98eaf6-26,x0770
93,MAK-UNK-ec98eaf6-25,x0770
94,MAK-UNK-ec98eaf6-24,x0770
95,MAK-UNK-ec98eaf6-23,x0770
96,MAK-UNK-ec98eaf6-22,x0770
97,MAK-UNK-ec98eaf6-21,x0770
98,MAK-UNK-ec98eaf6-20,x0770
99,MAK-UNK-ec98eaf6-19,x0770
100,MAK-UNK-ec98eaf6-17,x0770
101,MAK-UNK-ec98eaf6-16,x0770
102,MAK-UNK-ec98eaf6-15,x0770
103,MAK-UNK-ec98eaf6-14,x0770
104,MAK-UNK-ec98eaf6-13,x0770
105,MAK-UNK-ec98eaf6-11,x0770
106,MAK-UNK-ec98eaf6-10,x0770
107,MAK-UNK-e4a48a85-26,x0692
108,MAK-UNK-e4a48a85-25,x0692
109,MAK-UNK-e4a48a85-23,x0692
110,MAK-UNK-e4a48a85-22,x0692
111,MAK-UNK-e4a48a85-21,x0692
112,MAK-UNK-e4a48a85-20,x0692
113,MAK-UNK-e4a48a85-19,x0692
114,MAK-UNK-e4a48a85-18,x0692
115,MAK-UNK-e4a48a85-14,x0692
116,MAK-UNK-e4a48a85-13,x0692
117,MAK-UNK-e4a48a85-12,x0692
118,MAK-UNK-af83ef51-33,x0692
119,MAK-UNK-af83ef51-31,x0692
120,MAK-UNK-af83ef51-29,x0692
121,MAK-UNK-af83ef51-27,x0692
122,MAK-UNK-af83ef51-26,x0692
123,MAK-UNK-af83ef51-25,x0692
124,MAK-UNK-af83ef51-22,x0692
125,MAK-UNK-af83ef51-21,x0692
126,MAK-UNK-af83ef51-20,x0692
127,MAK-UNK-af83ef51-19,x0692
128,MAK-UNK-af83ef51-18,x0692
129,MAK-UNK-af83ef51-17,x0692
130,MAK-UNK-af83ef51-16,x0692
131,MAK-UNK-af83ef51-15,x0692
132,MAK-UNK-af83ef51-14,x0692
133,MAK-UNK-10799360-36,x0770
134,MAK-UNK-10799360-35,x0770
135,MAK-UNK-10799360-34,x0770
136,MAK-UNK-10799360-33,x0770
137,MAK-UNK-10799360-32,x0770
138,MAK-UNK-10799360-30,x0770
139,MAK-UNK-10799360-26,x0770
140,MAK-UNK-10799360-23,x0770
141,MAK-UNK-10799360-22,x0770
142,MAK-UNK-10799360-21,x0770
143,MAK-UNK-10799360-20,x0770
144,MAK-UNK-10799360-19,x0770
145,MAK-UNK-10799360-18,x0770
146,MAK-UNK-10799360-17,x0770
147,MAK-UNK-10799360-16,x0770
148,MAK-UNK-10799360-15,x0770
149,MAK-UNK-10799360-14,x0770
150,MAK-UNK-10799360-13,x0770
151,MAK-UNK-10799360-12,x0770
152,MAK-UNK-10799360-11,x0770
153,MAK-UNK-10799360-10,x0770
154,MAK-UNK-849bee6c-25,x0692
155,MAK-UNK-849bee6c-24,x0692
156,MAK-UNK-849bee6c-22,x0692
157,MAK-UNK-849bee6c-20,x0692
158,MAK-UNK-849bee6c-19,x0692
159,MAK-UNK-849bee6c-18,x0692
160,MAK-UNK-849bee6c-17,x0692
161,MAK-UNK-849bee6c-16,x0692
162,MAK-UNK-849bee6c-15,x0692
163,MAK-UNK-849bee6c-14,x0692
164,MAK-UNK-849bee6c-12,x0692
165,MAK-UNK-90d0606b-10,x0770
166,MAK-UNK-6ca90168-29,x0692
167,MAK-UNK-6ca90168-26,x0692
168,MAK-UNK-6ca90168-22,x0692
169,MAK-UNK-6ca90168-20,x0692
170,MAK-UNK-6ca90168-18,x0692
171,MAK-UNK-6ca90168-17,x0692
172,MAK-UNK-6ca90168-15,x0692
173,MAK-UNK-6ca90168-14,x0692
174,MAK-UNK-6ca90168-11,x0692
175,MAK-UNK-6ca90168-10,x0692
176,MAK-UNK-5d2caa6f-23,x0770
